"response__warnings__warning","response__warnings__description","response__total","response__dateFormat","response__frequency","response__data__period","response__data__subba","response__data__subba-name","response__data__parent","response__data__parent-name","response__data__value","response__data__value-units","response__description","request__command","request__params__frequency","request__params__data__-","request__params__sort__column","request__params__sort__direction","request__params__offset","request__params__length","request__params__api_key","apiVersion"
"","","","","","2023-07-23T01","COAS","Coast","ERCO","Electric Reliability Council of Texas, Inc.","20633","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5414","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1426","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2105","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5452","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","15868","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","21068","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","PEP","Potomac Electric Power zone","PJM","PJM Interconnection, LLC","3958","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","1949","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1450","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","SCE","Southern California Edison","CISO","California Independent System Operator","18020","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","901","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZOND","North","NYIS","New York Independent System Operator","639","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","73","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1807","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","231","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","6082","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","16368","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONH","Millwood","NYIS","New York Independent System Operator","426","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONA","West","NYIS","New York Independent System Operator","1945","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3156","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","WR","Westar Energy","SWPP","Southwest Power Pool","4635","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONC","Central","NYIS","New York Independent System Operator","1943","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","866","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","798","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","20246","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ZONI","Dunwoodie","NYIS","New York Independent System Operator","794","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","Frep","Freeport","PNM","Public Service Company of New Mexico","32","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4153","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12046","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2424","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","DAY","Dayton Power & Light zone","PJM","PJM Interconnection, LLC","2156","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","LES","Lincoln Electric System","SWPP","Southwest Power Pool","572","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1391","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","25609","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","6119","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","8242","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","PN","Pennsylvania Electric zone","PJM","PJM Interconnection, LLC","2114","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12164","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7318","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","SECI","Sunflower Electric","SWPP","Southwest Power Pool","818","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T01","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6256","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","73","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONI","Dunwoodie","NYIS","New York Independent System Operator","810","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONJ","New York City","NYIS","New York Independent System Operator","6851","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","2012","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","2019","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","11570","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","WR","Westar Energy","SWPP","Southwest Power Pool","4880","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONB","Genesee","NYIS","New York Independent System Operator","1344","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PL","Pennsylvania Power & Light zone","PJM","PJM Interconnection, LLC","5313","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PEP","Potomac Electric Power zone","PJM","PJM Interconnection, LLC","4109","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1513","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PE","PECO Energy zone","PJM","PJM Interconnection, LLC","5419","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","DPL","Delmarva Power & Light zone","PJM","PJM Interconnection, LLC","2734","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","16626","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONA","West","NYIS","New York Independent System Operator","2011","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","890","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2574","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","CE","Commonwealth Edison zone","PJM","PJM Interconnection, LLC","12529","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12515","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SECI","Sunflower Electric","SWPP","Southwest Power Pool","844","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","FWES","Far West","ERCO","Electric Reliability Council of Texas, Inc.","6445","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SCEN","South Central","ERCO","Electric Reliability Council of Texas, Inc.","14019","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2145","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONF","Capital","NYIS","New York Independent System Operator","1597","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","DEOK","Duke Energy Ohio/Kentucky zone","PJM","PJM Interconnection, LLC","3699","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","EAST","East","ERCO","Electric Reliability Council of Texas, Inc.","2766","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","6409","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONC","Central","NYIS","New York Independent System Operator","1975","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","INDN","Independence Power & Light","SWPP","Southwest Power Pool","188","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","LES","Lincoln Electric System","SWPP","Southwest Power Pool","597","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","8765","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PN","Pennsylvania Electric zone","PJM","PJM Interconnection, LLC","2195","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SOUT","South","ERCO","Electric Reliability Council of Texas, Inc.","6158","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","6297","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","21996","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","DAY","Dayton Power & Light zone","PJM","PJM Interconnection, LLC","2274","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","VEA","Valley Electric Association","CISO","California Independent System Operator","139","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","JC","Jersey Central Power & Light zone","PJM","PJM Interconnection, LLC","3876","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","DOM","Dominion Virginia Power zone","PJM","PJM Interconnection, LLC","16299","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","26929","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1498","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZOND","North","NYIS","New York Independent System Operator","640","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","59","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","31","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","WEST","West","ERCO","Electric Reliability Council of Texas, Inc.","2199","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","364","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12293","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","AE","Atlantic Electric zone","PJM","PJM Interconnection, LLC","1949","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","4415","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","376","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","2","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","18","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1901","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","2058","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","246","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","Frep","Freeport","PNM","Public Service Company of New Mexico","34","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","838","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SCE","Southern California Edison","CISO","California Independent System Operator","17477","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","2236","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONK","Long Island","NYIS","New York Independent System Operator","3603","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5482","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5686","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","COAS","Coast","ERCO","Electric Reliability Council of Texas, Inc.","21291","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3222","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONH","Millwood","NYIS","New York Independent System Operator","443","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","922","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7653","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1859","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","15359","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","SPRM","City of Springfield","SWPP","Southwest Power Pool","535","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1472","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","21228","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4231","megawatthours","","","","","","","","","",""
"","","","","","2023-07-23T00","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6496","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","INDN","Independence Power & Light","SWPP","Southwest Power Pool","189","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","6350","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","NCEN","North Central","ERCO","Electric Reliability Council of Texas, Inc.","22290","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","WAUE","Western Area Power Upper Great Plains East","SWPP","Southwest Power Pool","4280","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SECI","Sunflower Electric","SWPP","Southwest Power Pool","861","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","TSGT","Tri-State Generation and Transmission","PNM","Public Service Company of New Mexico","381","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONI","Dunwoodie","NYIS","New York Independent System Operator","833","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONJ","New York City","NYIS","New York Independent System Operator","6965","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PNM","PNM System Firm Load","PNM","Public Service Company of New Mexico","1829","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SOUT","South","ERCO","Electric Reliability Council of Texas, Inc.","6204","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","COAS","Coast","ERCO","Electric Reliability Council of Texas, Inc.","21568","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","DPL","Delmarva Power & Light zone","PJM","PJM Interconnection, LLC","2816","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PEP","Potomac Electric Power zone","PJM","PJM Interconnection, LLC","4198","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONH","Millwood","NYIS","New York Independent System Operator","466","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","KCEC","Kit Carson Electric Cooperative","PNM","Public Service Company of New Mexico","13","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","21901","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONE","Mohawk Valley","NYIS","New York Independent System Operator","887","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","30","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","KACY","Kansas City Board of Public Utilities","SWPP","Southwest Power Pool","372","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12446","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","AEP","American Electric Power zone","PJM","PJM Interconnection, LLC","16932","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZOND","North","NYIS","New York Independent System Operator","634","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SPS","Southwestern Public Service Company","SWPP","Southwest Power Pool","5496","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONG","Hudson Valley","NYIS","New York Independent System Operator","1503","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONB","Genesee","NYIS","New York Independent System Operator","1316","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","1991","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","AP","Allegheny Power zone","PJM","PJM Interconnection, LLC","6623","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PN","Pennsylvania Electric zone","PJM","PJM Interconnection, LLC","2256","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","FWES","Far West","ERCO","Electric Reliability Council of Texas, Inc.","6497","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","LES","Lincoln Electric System","SWPP","Southwest Power Pool","605","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","35","Zones 3 and 5","MISO","Midcontinent Independent System Operator, Inc.","12691","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","JC","Jersey Central Power & Light zone","PJM","PJM Interconnection, LLC","4015","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","Jica","Jicarilla Apache Nation","PNM","Public Service Company of New Mexico","3","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SPRM","City of Springfield","SWPP","Southwest Power Pool","545","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","EAST","East","ERCO","Electric Reliability Council of Texas, Inc.","2829","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","4582","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","RECO","Rockland Electric (East) zone","PJM","PJM Interconnection, LLC","255","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","AE","Atlantic Electric zone","PJM","PJM Interconnection, LLC","1988","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1948","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","DEOK","Duke Energy Ohio/Kentucky zone","PJM","PJM Interconnection, LLC","3815","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","DAY","Dayton Power & Light zone","PJM","PJM Interconnection, LLC","2319","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ATSI","American Transmission Systems, Inc. zone","PJM","PJM Interconnection, LLC","9041","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","MPS","KCP&L Greater Missouri Operations","SWPP","Southwest Power Pool","1495","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3276","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","KAFB","Kirtland Air Force Base","PNM","Public Service Company of New Mexico","59","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PL","Pennsylvania Power & Light zone","PJM","PJM Interconnection, LLC","5497","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ME","Metropolitan Edison zone","PJM","PJM Interconnection, LLC","2138","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","WEST","West","ERCO","Electric Reliability Council of Texas, Inc.","2198","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PGAE","Pacific Gas and Electric","CISO","California Independent System Operator","14276","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","GRDA","Grand River Dam Authority","SWPP","Southwest Power Pool","902","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","WFEC","Western Farmers Electric Cooperative","SWPP","Southwest Power Pool","1516","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","KCPL","Kansas City Power & Light","SWPP","Southwest Power Pool","2674","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","PE","PECO Energy zone","PJM","PJM Interconnection, LLC","5612","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","DOM","Dominion Virginia Power zone","PJM","PJM Interconnection, LLC","16749","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","74","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","4","Zone 4","MISO","Midcontinent Independent System Operator, Inc.","6523","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONC","Central","NYIS","New York Independent System Operator","1936","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","6","Zone 6","MISO","Midcontinent Independent System Operator, Inc.","11833","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","OPPD","Omaha Public Power District","SWPP","Southwest Power Pool","2210","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SCE","Southern California Edison","CISO","California Independent System Operator","16692","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","EDE","Empire District Electric Company","SWPP","Southwest Power Pool","845","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SDGE","San Diego Gas and Electric","CISO","California Independent System Operator","1994","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","SCEN","South Central","ERCO","Electric Reliability Council of Texas, Inc.","14230","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONF","Capital","NYIS","New York Independent System Operator","1603","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONA","West","NYIS","New York Independent System Operator","2036","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","CSWS","AEPW American Electric Power West","SWPP","Southwest Power Pool","7833","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","2044","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","CE","Commonwealth Edison zone","PJM","PJM Interconnection, LLC","13135","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","8910","Zones 8, 9, and 10","MISO","Midcontinent Independent System Operator, Inc.","27981","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","VEA","Valley Electric Association","CISO","California Independent System Operator","134","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","WR","Westar Energy","SWPP","Southwest Power Pool","5052","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","ZONK","Long Island","NYIS","New York Independent System Operator","3779","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5751","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T23","Frep","Freeport","PNM","Public Service Company of New Mexico","35","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","ZONK","Long Island","NYIS","New York Independent System Operator","3827","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","NTUA","Navajo Tribal Utility Authority","PNM","Public Service Company of New Mexico","29","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","SCE","Southern California Edison","CISO","California Independent System Operator","15508","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","1","Zone 1","MISO","Midcontinent Independent System Operator, Inc.","12470","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","OKGE","Oklahoma Gas and Electric Co.","SWPP","Southwest Power Pool","5708","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","JC","Jersey Central Power & Light zone","PJM","PJM Interconnection, LLC","4051","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","NRTH","North","ERCO","Electric Reliability Council of Texas, Inc.","2033","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","PS","Public Service Electric & Gas zone","PJM","PJM Interconnection, LLC","6372","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","LAC","Los Alamos County","PNM","Public Service Company of New Mexico","75","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","SCEN","South Central","ERCO","Electric Reliability Council of Texas, Inc.","14096","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","BC","Baltimore Gas & Electric zone","PJM","PJM Interconnection, LLC","4583","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","27","Zones 2 and 7","MISO","Midcontinent Independent System Operator, Inc.","22231","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","LES","Lincoln Electric System","SWPP","Southwest Power Pool","598","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","NPPD","Nebraska Public Power District","SWPP","Southwest Power Pool","3298","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","EKPC","East Kentucky Power Cooperative zone","PJM","PJM Interconnection, LLC","2033","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","VEA","Valley Electric Association","CISO","California Independent System Operator","127","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","DEOK","Duke Energy Ohio/Kentucky zone","PJM","PJM Interconnection, LLC","3851","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","DUQ","Duquesne Lighting Company zone","PJM","PJM Interconnection, LLC","1947","megawatthours","","","","","","","","","",""
"","","","","","2023-07-22T22","INDN","Independence Power & Light","SWPP","Southwest Power Pool","182","megawatthours","","","","","","","","","",""
